Point,Corner,mc_iteration,Pass/Fail,Vo
1,GLOBAL_LOCAL,1,,763.9e-3
2,GLOBAL_LOCAL,2,,740.5e-3
3,GLOBAL_LOCAL,3,,776.7e-3
4,GLOBAL_LOCAL,4,,754.6e-3
5,GLOBAL_LOCAL,5,,794.9e-3
6,GLOBAL_LOCAL,6,,737.1e-3
7,GLOBAL_LOCAL,7,,770.3e-3
8,GLOBAL_LOCAL,8,,763e-3
9,GLOBAL_LOCAL,9,,765e-3
10,GLOBAL_LOCAL,10,,764.4e-3
11,GLOBAL_LOCAL,11,,770e-3
12,GLOBAL_LOCAL,12,,733e-3
13,GLOBAL_LOCAL,13,,782.1e-3
14,GLOBAL_LOCAL,14,,801.9e-3
15,GLOBAL_LOCAL,15,,760.9e-3
16,GLOBAL_LOCAL,16,,768.8e-3
17,GLOBAL_LOCAL,17,,733.5e-3
18,GLOBAL_LOCAL,18,,766.9e-3
19,GLOBAL_LOCAL,19,,776.3e-3
20,GLOBAL_LOCAL,20,,783.2e-3
21,GLOBAL_LOCAL,21,,773.8e-3
22,GLOBAL_LOCAL,22,,745.8e-3
23,GLOBAL_LOCAL,23,,763.8e-3
24,GLOBAL_LOCAL,24,,754.3e-3
25,GLOBAL_LOCAL,25,,758.8e-3
26,GLOBAL_LOCAL,26,,783.7e-3
27,GLOBAL_LOCAL,27,,756.4e-3
28,GLOBAL_LOCAL,28,,782e-3
29,GLOBAL_LOCAL,29,,751.5e-3
30,GLOBAL_LOCAL,30,,767e-3
31,GLOBAL_LOCAL,31,,798.9e-3
32,GLOBAL_LOCAL,32,,760e-3
33,GLOBAL_LOCAL,33,,808.6e-3
34,GLOBAL_LOCAL,34,,745.5e-3
35,GLOBAL_LOCAL,35,,778.4e-3
36,GLOBAL_LOCAL,36,,786e-3
37,GLOBAL_LOCAL,37,,754.4e-3
38,GLOBAL_LOCAL,38,,753.9e-3
39,GLOBAL_LOCAL,39,,779.2e-3
40,GLOBAL_LOCAL,40,,773.3e-3
41,GLOBAL_LOCAL,41,,790.3e-3
42,GLOBAL_LOCAL,42,,751.1e-3
43,GLOBAL_LOCAL,43,,760.3e-3
44,GLOBAL_LOCAL,44,,760e-3
45,GLOBAL_LOCAL,45,,775e-3
46,GLOBAL_LOCAL,46,,764.8e-3
47,GLOBAL_LOCAL,47,,772e-3
48,GLOBAL_LOCAL,48,,787.9e-3
49,GLOBAL_LOCAL,49,,785.1e-3
50,GLOBAL_LOCAL,50,,755.1e-3
51,GLOBAL_LOCAL,51,,753.3e-3
52,GLOBAL_LOCAL,52,,758.1e-3
53,GLOBAL_LOCAL,53,,800.2e-3
54,GLOBAL_LOCAL,54,,752e-3
