Point,Corner,mc_iteration,Pass/Fail,Vo
1,GLOBAL_LOCAL,1,,769.6e-3
2,GLOBAL_LOCAL,2,,752.4e-3
3,GLOBAL_LOCAL,3,,774.2e-3
4,GLOBAL_LOCAL,4,,774.3e-3
5,GLOBAL_LOCAL,5,,767.9e-3
6,GLOBAL_LOCAL,6,,784.1e-3
7,GLOBAL_LOCAL,7,,758.3e-3
8,GLOBAL_LOCAL,8,,758.5e-3
9,GLOBAL_LOCAL,9,,761.1e-3
10,GLOBAL_LOCAL,10,,762.4e-3
11,GLOBAL_LOCAL,11,,757.4e-3
12,GLOBAL_LOCAL,12,,785.1e-3
13,GLOBAL_LOCAL,13,,774.5e-3
14,GLOBAL_LOCAL,14,,763.9e-3
15,GLOBAL_LOCAL,15,,766.6e-3
16,GLOBAL_LOCAL,16,,748.6e-3
17,GLOBAL_LOCAL,17,,778e-3
18,GLOBAL_LOCAL,18,,757.8e-3
19,GLOBAL_LOCAL,19,,782e-3
20,GLOBAL_LOCAL,20,,800e-3
21,GLOBAL_LOCAL,21,,749.3e-3
22,GLOBAL_LOCAL,22,,753e-3
23,GLOBAL_LOCAL,23,,771.2e-3
24,GLOBAL_LOCAL,24,,785.9e-3
25,GLOBAL_LOCAL,25,,767.3e-3
26,GLOBAL_LOCAL,26,,779.1e-3
27,GLOBAL_LOCAL,27,,795.5e-3
28,GLOBAL_LOCAL,28,,729.3e-3
29,GLOBAL_LOCAL,29,,764.7e-3
30,GLOBAL_LOCAL,30,,767e-3
31,GLOBAL_LOCAL,31,,776.4e-3
32,GLOBAL_LOCAL,32,,769.5e-3
33,GLOBAL_LOCAL,33,,781.9e-3
34,GLOBAL_LOCAL,34,,782.6e-3
35,GLOBAL_LOCAL,35,,765.7e-3
36,GLOBAL_LOCAL,36,,747.1e-3
37,GLOBAL_LOCAL,37,,751.3e-3
38,GLOBAL_LOCAL,38,,777.4e-3
39,GLOBAL_LOCAL,39,,765e-3
40,GLOBAL_LOCAL,40,,774.4e-3
41,GLOBAL_LOCAL,41,,733.8e-3
