Point,Corner,mc_iteration,Pass/Fail,Vo
1,LOCAL,1,,759.7e-3
2,LOCAL,2,,771.1e-3
3,LOCAL,3,,761.8e-3
4,LOCAL,4,,770.1e-3
5,LOCAL,5,,768.4e-3
6,LOCAL,6,,758.8e-3
7,LOCAL,7,,772.7e-3
8,LOCAL,8,,764.4e-3
9,LOCAL,9,,759.2e-3
10,LOCAL,10,,764.8e-3
11,LOCAL,11,,764.4e-3
12,LOCAL,12,,766.7e-3
13,LOCAL,13,,765.1e-3
14,LOCAL,14,,765e-3
15,LOCAL,15,,771e-3
16,LOCAL,16,,764.7e-3
17,LOCAL,17,,770.3e-3
18,LOCAL,18,,768.7e-3
19,LOCAL,19,,765.7e-3
20,LOCAL,20,,765.3e-3
21,LOCAL,21,,763.2e-3
22,LOCAL,22,,775.3e-3
23,LOCAL,23,,767.6e-3
24,LOCAL,24,,774.6e-3
25,LOCAL,25,,775.2e-3
26,LOCAL,26,,768.2e-3
27,LOCAL,27,,770.3e-3
28,LOCAL,28,,767.1e-3
29,LOCAL,29,,772.2e-3
30,LOCAL,30,,767.2e-3
31,LOCAL,31,,762.5e-3
32,LOCAL,32,,768e-3
33,LOCAL,33,,765e-3
34,LOCAL,34,,767.8e-3
35,LOCAL,35,,766.2e-3
36,LOCAL,36,,773.1e-3
37,LOCAL,37,,768.3e-3
38,LOCAL,38,,766.8e-3
39,LOCAL,39,,765.6e-3
40,LOCAL,40,,772.4e-3
41,LOCAL,41,,772.9e-3
42,LOCAL,42,,766.9e-3
43,LOCAL,43,,773.6e-3
44,LOCAL,44,,768.7e-3
45,LOCAL,45,,767.3e-3
46,LOCAL,46,,774.9e-3
47,LOCAL,47,,764.6e-3
48,LOCAL,48,,772.4e-3
49,LOCAL,49,,770.9e-3
50,LOCAL,50,,771.1e-3
51,LOCAL,51,,768.7e-3
52,LOCAL,52,,766e-3
53,LOCAL,53,,767.7e-3
54,LOCAL,54,,763.5e-3
55,LOCAL,55,,768.4e-3
56,LOCAL,56,,769e-3
57,LOCAL,57,,762.1e-3
58,LOCAL,58,,768.8e-3
59,LOCAL,59,,764.2e-3
60,LOCAL,60,,775.2e-3
61,LOCAL,61,,766.5e-3
62,LOCAL,62,,766.6e-3
63,LOCAL,63,,765e-3
64,LOCAL,64,,776.8e-3
65,LOCAL,65,,761.1e-3
66,LOCAL,66,,775.4e-3
67,LOCAL,67,,772.4e-3
68,LOCAL,68,,774.1e-3
69,LOCAL,69,,775e-3
70,LOCAL,70,,767.9e-3
71,LOCAL,71,,768.1e-3
72,LOCAL,72,,768e-3
73,LOCAL,73,,768.9e-3
74,LOCAL,74,,768.4e-3
75,LOCAL,75,,768.4e-3
76,LOCAL,76,,774.9e-3
77,LOCAL,77,,769.7e-3
78,LOCAL,78,,773e-3
79,LOCAL,79,,768.9e-3
80,LOCAL,80,,770.5e-3
81,LOCAL,81,,760e-3
82,LOCAL,82,,773.3e-3
