Point,Corner,mc_iteration,Pass/Fail,Id,/IPRB0/PLUS
1,LOCAL,1,,54.22e-6,
2,LOCAL,2,,53.12e-6,
3,LOCAL,3,,58.16e-6,
4,LOCAL,4,,57.07e-6,
5,LOCAL,5,,58.75e-6,
6,LOCAL,6,,56.72e-6,
7,LOCAL,7,,51.88e-6,
8,LOCAL,8,,55.98e-6,
9,LOCAL,9,,51.48e-6,
10,LOCAL,10,,55.44e-6,
11,LOCAL,11,,56.96e-6,
12,LOCAL,12,,53.87e-6,
13,LOCAL,13,,59.67e-6,
14,LOCAL,14,,51.18e-6,
15,LOCAL,15,,55.83e-6,
16,LOCAL,16,,52.25e-6,
17,LOCAL,17,,57.94e-6,
18,LOCAL,18,,55.5e-6,
19,LOCAL,19,,55.55e-6,
20,LOCAL,20,,56.18e-6,
21,LOCAL,21,,51.75e-6,
22,LOCAL,22,,56.6e-6,
23,LOCAL,23,,50.09e-6,
24,LOCAL,24,,50.45e-6,
25,LOCAL,25,,52.42e-6,
26,LOCAL,26,,57.35e-6,
27,LOCAL,27,,52.67e-6,
28,LOCAL,28,,56.15e-6,
29,LOCAL,29,,54.43e-6,
30,LOCAL,30,,52.37e-6,
31,LOCAL,31,,58.48e-6,
32,LOCAL,32,,54.67e-6,
33,LOCAL,33,,54.17e-6,
34,LOCAL,34,,54.64e-6,
35,LOCAL,35,,54.16e-6,
36,LOCAL,36,,57.71e-6,
37,LOCAL,37,,52.13e-6,
38,LOCAL,38,,54.6e-6,
39,LOCAL,39,,55.26e-6,
40,LOCAL,40,,55.87e-6,
41,LOCAL,41,,54.7e-6,
42,LOCAL,42,,58.62e-6,
43,LOCAL,43,,53.09e-6,
44,LOCAL,44,,53.09e-6,
45,LOCAL,45,,54.72e-6,
46,LOCAL,46,,54.02e-6,
47,LOCAL,47,,53.66e-6,
48,LOCAL,48,,53.93e-6,
49,LOCAL,49,,54.07e-6,
50,LOCAL,50,,53.99e-6,
51,LOCAL,51,,60.99e-6,
52,LOCAL,52,,50.7e-6,
53,LOCAL,53,,56.44e-6,
54,LOCAL,54,,53.73e-6,
55,LOCAL,55,,53.9e-6,
56,LOCAL,56,,51.97e-6,
57,LOCAL,57,,52.34e-6,
58,LOCAL,58,,55.61e-6,
59,LOCAL,59,,54.96e-6,
60,LOCAL,60,,53.95e-6,
61,LOCAL,61,,60.42e-6,
62,LOCAL,62,,53.45e-6,
63,LOCAL,63,,54.58e-6,
64,LOCAL,64,,53.48e-6,
65,LOCAL,65,,51.85e-6,
66,LOCAL,66,,55.58e-6,
67,LOCAL,67,,56.42e-6,
68,LOCAL,68,,58.46e-6,
69,LOCAL,69,,53.36e-6,
70,LOCAL,70,,53.33e-6,
71,LOCAL,71,,51.43e-6,
72,LOCAL,72,,53.8e-6,
73,LOCAL,73,,54.92e-6,
74,LOCAL,74,,62.19e-6,
75,LOCAL,75,,55.31e-6,
76,LOCAL,76,,56.77e-6,
77,LOCAL,77,,55.57e-6,
78,LOCAL,78,,53.05e-6,
79,LOCAL,79,,52.41e-6,
80,LOCAL,80,,54.74e-6,
81,LOCAL,81,,54.33e-6,
82,LOCAL,82,,52.21e-6,
83,LOCAL,83,,57.26e-6,
84,LOCAL,84,,55.18e-6,
85,LOCAL,85,,54.92e-6,
86,LOCAL,86,,54.99e-6,
87,LOCAL,87,,54.22e-6,
88,LOCAL,88,,61.75e-6,
89,LOCAL,89,,54.34e-6,
90,LOCAL,90,,54.14e-6,
91,LOCAL,91,,54.29e-6,
92,LOCAL,92,,53.6e-6,
93,LOCAL,93,,57.56e-6,
94,LOCAL,94,,55.98e-6,
95,LOCAL,95,,48.42e-6,
96,LOCAL,96,,51.96e-6,
97,LOCAL,97,,56.76e-6,
98,LOCAL,98,,51.99e-6,
99,LOCAL,99,,56.89e-6,
100,LOCAL,100,,55.28e-6,
101,LOCAL,101,,56.8e-6,
102,LOCAL,102,,61.7e-6,
103,LOCAL,103,,52.58e-6,
104,LOCAL,104,,57.45e-6,
105,LOCAL,105,,51.49e-6,
106,LOCAL,106,,54.79e-6,
107,LOCAL,107,,53.55e-6,
108,LOCAL,108,,51.64e-6,
109,LOCAL,109,,56.99e-6,
110,LOCAL,110,,50.51e-6,
111,LOCAL,111,,58.47e-6,
112,LOCAL,112,,51.81e-6,
113,LOCAL,113,,56.61e-6,
114,LOCAL,114,,57.95e-6,
115,LOCAL,115,,50.72e-6,
116,LOCAL,116,,58.24e-6,
