Point,Corner,mc_iteration,Pass/Fail,Vo
1,LOCAL,1,,1.651
2,LOCAL,2,,1.649
3,LOCAL,3,,1.65
4,LOCAL,4,,1.646
5,LOCAL,5,,1.651
6,LOCAL,6,,1.654
7,LOCAL,7,,1.649
8,LOCAL,8,,1.655
9,LOCAL,9,,1.648
10,LOCAL,10,,1.647
11,LOCAL,11,,1.654
12,LOCAL,12,,1.647
13,LOCAL,13,,1.645
14,LOCAL,14,,1.651
15,LOCAL,15,,1.651
16,LOCAL,16,,1.643
17,LOCAL,17,,1.649
18,LOCAL,18,,1.653
19,LOCAL,19,,1.649
20,LOCAL,20,,1.65
21,LOCAL,21,,1.652
22,LOCAL,22,,1.651
23,LOCAL,23,,1.649
24,LOCAL,24,,1.648
25,LOCAL,25,,1.649
26,LOCAL,26,,1.652
27,LOCAL,27,,1.652
28,LOCAL,28,,1.645
29,LOCAL,29,,1.655
30,LOCAL,30,,1.648
31,LOCAL,31,,1.651
32,LOCAL,32,,1.652
33,LOCAL,33,,1.651
34,LOCAL,34,,1.648
35,LOCAL,35,,1.648
36,LOCAL,36,,1.647
37,LOCAL,37,,1.653
38,LOCAL,38,,1.654
39,LOCAL,39,,1.645
40,LOCAL,40,,1.652
41,LOCAL,41,,1.649
42,LOCAL,42,,1.651
43,LOCAL,43,,1.651
44,LOCAL,44,,1.65
45,LOCAL,45,,1.652
46,LOCAL,46,,1.652
47,LOCAL,47,,1.649
48,LOCAL,48,,1.649
49,LOCAL,49,,1.653
50,LOCAL,50,,1.646
51,LOCAL,51,,1.648
52,LOCAL,52,,1.649
53,LOCAL,53,,1.65
54,LOCAL,54,,1.648
55,LOCAL,55,,1.656
56,LOCAL,56,,1.65
57,LOCAL,57,,1.65
58,LOCAL,58,,1.65
59,LOCAL,59,,1.651
60,LOCAL,60,,1.655
61,LOCAL,61,,1.647
62,LOCAL,62,,1.648
63,LOCAL,63,,1.651
64,LOCAL,64,,1.653
65,LOCAL,65,,1.65
66,LOCAL,66,,1.647
67,LOCAL,67,,1.649
