Point,Corner,mc_iteration,Pass/Fail,Vo
1,LOCAL,1,,1.641
2,LOCAL,2,,1.651
3,LOCAL,3,,1.647
4,LOCAL,4,,1.649
5,LOCAL,5,,1.65
6,LOCAL,6,,1.649
7,LOCAL,7,,1.652
8,LOCAL,8,,1.649
9,LOCAL,9,,1.65
10,LOCAL,10,,1.651
11,LOCAL,11,,1.646
12,LOCAL,12,,1.652
13,LOCAL,13,,1.655
14,LOCAL,14,,1.648
15,LOCAL,15,,1.649
16,LOCAL,16,,1.65
17,LOCAL,17,,1.648
18,LOCAL,18,,1.655
19,LOCAL,19,,1.653
20,LOCAL,20,,1.645
21,LOCAL,21,,1.648
22,LOCAL,22,,1.654
23,LOCAL,23,,1.651
24,LOCAL,24,,1.65
25,LOCAL,25,,1.65
26,LOCAL,26,,1.652
27,LOCAL,27,,1.649
28,LOCAL,28,,1.655
29,LOCAL,29,,1.65
30,LOCAL,30,,1.649
31,LOCAL,31,,1.655
32,LOCAL,32,,1.652
33,LOCAL,33,,1.648
34,LOCAL,34,,1.649
35,LOCAL,35,,1.651
36,LOCAL,36,,1.65
37,LOCAL,37,,1.652
38,LOCAL,38,,1.655
39,LOCAL,39,,1.65
40,LOCAL,40,,1.648
41,LOCAL,41,,1.653
42,LOCAL,42,,1.647
43,LOCAL,43,,1.65
44,LOCAL,44,,1.647
45,LOCAL,45,,1.65
46,LOCAL,46,,1.651
47,LOCAL,47,,1.645
48,LOCAL,48,,1.646
49,LOCAL,49,,1.645
50,LOCAL,50,,1.653
51,LOCAL,51,,1.646
52,LOCAL,52,,1.649
53,LOCAL,53,,1.649
54,LOCAL,54,,1.652
55,LOCAL,55,,1.647
56,LOCAL,56,,1.653
57,LOCAL,57,,1.653
58,LOCAL,58,,1.65
59,LOCAL,59,,1.651
60,LOCAL,60,,1.647
61,LOCAL,61,,1.646
62,LOCAL,62,,1.653
63,LOCAL,63,,1.65
64,LOCAL,64,,1.65
65,LOCAL,65,,1.655
66,LOCAL,66,,1.649
67,LOCAL,67,,1.654
68,LOCAL,68,,1.649
69,LOCAL,69,,1.657
70,LOCAL,70,,1.643
71,LOCAL,71,,1.651
72,LOCAL,72,,1.647
73,LOCAL,73,,1.645
74,LOCAL,74,,1.65
75,LOCAL,75,,1.65
76,LOCAL,76,,1.649
77,LOCAL,77,,1.652
78,LOCAL,78,,1.649
79,LOCAL,79,,1.648
80,LOCAL,80,,1.65
81,LOCAL,81,,1.65
82,LOCAL,82,,1.652
83,LOCAL,83,,1.653
84,LOCAL,84,,1.644
85,LOCAL,85,,1.645
86,LOCAL,86,,1.65
87,LOCAL,87,,1.653
88,LOCAL,88,,1.65
89,LOCAL,89,,1.65
90,LOCAL,90,,1.647
91,LOCAL,91,,1.653
92,LOCAL,92,,1.649
93,LOCAL,93,,1.648
94,LOCAL,94,,1.655
95,LOCAL,95,,1.649
96,LOCAL,96,,1.65
97,LOCAL,97,,1.656
98,LOCAL,98,,1.649
99,LOCAL,99,,1.654
100,LOCAL,100,,1.649
101,LOCAL,101,,1.648
102,LOCAL,102,,1.648
103,LOCAL,103,,1.651
104,LOCAL,104,,1.654
105,LOCAL,105,,1.647
106,LOCAL,106,,1.651
107,LOCAL,107,,1.65
108,LOCAL,108,,1.653
109,LOCAL,109,,1.654
110,LOCAL,110,,1.649
111,LOCAL,111,,1.656
112,LOCAL,112,,1.649
113,LOCAL,113,,1.652
114,LOCAL,114,,1.649
115,LOCAL,115,,1.646
116,LOCAL,116,,1.651
117,LOCAL,117,,1.646
118,LOCAL,118,,1.652
119,LOCAL,119,,1.648
120,LOCAL,120,,1.645
121,LOCAL,121,,1.646
122,LOCAL,122,,1.656
123,LOCAL,123,,1.65
124,LOCAL,124,,1.646
125,LOCAL,125,,1.652
126,LOCAL,126,,1.648
127,LOCAL,127,,1.651
128,LOCAL,128,,1.652
129,LOCAL,129,,1.65
130,LOCAL,130,,1.651
131,LOCAL,131,,1.646
132,LOCAL,132,,1.65
133,LOCAL,133,,1.649
134,LOCAL,134,,1.653
135,LOCAL,135,,1.65
136,LOCAL,136,,1.653
137,LOCAL,137,,1.651
138,LOCAL,138,,1.652
139,LOCAL,139,,1.646
140,LOCAL,140,,1.655
141,LOCAL,141,,1.655
142,LOCAL,142,,1.65
143,LOCAL,143,,1.649
144,LOCAL,144,,1.646
145,LOCAL,145,,1.655
146,LOCAL,146,,1.647
147,LOCAL,147,,1.653
148,LOCAL,148,,1.653
149,LOCAL,149,,1.647
150,LOCAL,150,,1.648
151,LOCAL,151,,1.649
152,LOCAL,152,,1.653
153,LOCAL,153,,1.647
154,LOCAL,154,,1.646
155,LOCAL,155,,1.651
156,LOCAL,156,,1.653
157,LOCAL,157,,1.643
158,LOCAL,158,,1.649
159,LOCAL,159,,1.652
160,LOCAL,160,,1.644
161,LOCAL,161,,1.647
162,LOCAL,162,,1.652
163,LOCAL,163,,1.646
164,LOCAL,164,,1.646
165,LOCAL,165,,1.655
166,LOCAL,166,,1.65
167,LOCAL,167,,1.653
168,LOCAL,168,,1.647
169,LOCAL,169,,1.647
170,LOCAL,170,,1.65
171,LOCAL,171,,1.65
172,LOCAL,172,,1.645
173,LOCAL,173,,1.651
174,LOCAL,174,,1.652
175,LOCAL,175,,1.656
176,LOCAL,176,,1.646
177,LOCAL,177,,1.652
178,LOCAL,178,,1.653
179,LOCAL,179,,1.653
180,LOCAL,180,,1.651
181,LOCAL,181,,1.65
182,LOCAL,182,,1.651
183,LOCAL,183,,1.656
184,LOCAL,184,,1.649
185,LOCAL,185,,1.654
186,LOCAL,186,,1.654
187,LOCAL,187,,1.651
188,LOCAL,188,,1.65
189,LOCAL,189,,1.651
190,LOCAL,190,,1.652
191,LOCAL,191,,1.65
192,LOCAL,192,,1.647
193,LOCAL,193,,1.647
194,LOCAL,194,,1.647
195,LOCAL,195,,1.647
196,LOCAL,196,,1.643
197,LOCAL,197,,1.651
198,LOCAL,198,,1.652
199,LOCAL,199,,1.657
200,LOCAL,200,,1.648
201,LOCAL,201,,1.651
202,LOCAL,202,,1.655
203,LOCAL,203,,1.652
204,LOCAL,204,,1.652
205,LOCAL,205,,1.647
206,LOCAL,206,,1.65
207,LOCAL,207,,1.653
208,LOCAL,208,,1.648
209,LOCAL,209,,1.651
210,LOCAL,210,,1.649
211,LOCAL,211,,1.652
212,LOCAL,212,,1.65
213,LOCAL,213,,1.65
214,LOCAL,214,,1.65
215,LOCAL,215,,1.653
216,LOCAL,216,,1.651
217,LOCAL,217,,1.65
218,LOCAL,218,,1.653
219,LOCAL,219,,1.644
220,LOCAL,220,,1.654
221,LOCAL,221,,1.645
222,LOCAL,222,,1.652
223,LOCAL,223,,1.65
224,LOCAL,224,,1.65
225,LOCAL,225,,1.649
226,LOCAL,226,,1.647
227,LOCAL,227,,1.652
228,LOCAL,228,,1.651
229,LOCAL,229,,1.652
230,LOCAL,230,,1.652
231,LOCAL,231,,1.653
232,LOCAL,232,,1.646
233,LOCAL,233,,1.649
234,LOCAL,234,,1.652
235,LOCAL,235,,1.649
236,LOCAL,236,,1.649
237,LOCAL,237,,1.647
238,LOCAL,238,,1.649
239,LOCAL,239,,1.651
240,LOCAL,240,,1.647
241,LOCAL,241,,1.645
242,LOCAL,242,,1.652
243,LOCAL,243,,1.654
244,LOCAL,244,,1.651
245,LOCAL,245,,1.65
246,LOCAL,246,,1.652
247,LOCAL,247,,1.648
248,LOCAL,248,,1.646
249,LOCAL,249,,1.655
250,LOCAL,250,,1.649
251,LOCAL,251,,1.651
252,LOCAL,252,,1.651
253,LOCAL,253,,1.649
254,LOCAL,254,,1.649
255,LOCAL,255,,1.649
256,LOCAL,256,,1.651
257,LOCAL,257,,1.648
258,LOCAL,258,,1.654
259,LOCAL,259,,1.647
260,LOCAL,260,,1.65
261,LOCAL,261,,1.649
262,LOCAL,262,,1.649
263,LOCAL,263,,1.652
264,LOCAL,264,,1.653
265,LOCAL,265,,1.653
266,LOCAL,266,,1.655
267,LOCAL,267,,1.651
268,LOCAL,268,,1.651
269,LOCAL,269,,1.655
270,LOCAL,270,,1.646
271,LOCAL,271,,1.658
272,LOCAL,272,,1.646
273,LOCAL,273,,1.649
274,LOCAL,274,,1.648
275,LOCAL,275,,1.653
276,LOCAL,276,,1.652
277,LOCAL,277,,1.648
278,LOCAL,278,,1.649
279,LOCAL,279,,1.646
280,LOCAL,280,,1.648
281,LOCAL,281,,1.648
282,LOCAL,282,,1.653
283,LOCAL,283,,1.646
284,LOCAL,284,,1.656
285,LOCAL,285,,1.65
286,LOCAL,286,,1.651
287,LOCAL,287,,1.653
288,LOCAL,288,,1.649
289,LOCAL,289,,1.649
290,LOCAL,290,,1.655
291,LOCAL,291,,1.648
292,LOCAL,292,,1.647
293,LOCAL,293,,1.645
294,LOCAL,294,,1.652
295,LOCAL,295,,1.647
296,LOCAL,296,,1.649
297,LOCAL,297,,1.65
298,LOCAL,298,,1.648
299,LOCAL,299,,1.652
300,LOCAL,300,,1.652
301,LOCAL,301,,1.65
302,LOCAL,302,,1.651
303,LOCAL,303,,1.648
304,LOCAL,304,,1.653
305,LOCAL,305,,1.651
306,LOCAL,306,,1.649
307,LOCAL,307,,1.651
308,LOCAL,308,,1.652
309,LOCAL,309,,1.646
310,LOCAL,310,,1.65
311,LOCAL,311,,1.651
312,LOCAL,312,,1.651
313,LOCAL,313,,1.648
314,LOCAL,314,,1.65
315,LOCAL,315,,1.652
316,LOCAL,316,,1.645
317,LOCAL,317,,1.65
318,LOCAL,318,,1.651
319,LOCAL,319,,1.645
320,LOCAL,320,,1.647
321,LOCAL,321,,1.654
322,LOCAL,322,,1.651
323,LOCAL,323,,1.65
324,LOCAL,324,,1.647
325,LOCAL,325,,1.651
326,LOCAL,326,,1.653
327,LOCAL,327,,1.652
328,LOCAL,328,,1.649
329,LOCAL,329,,1.644
330,LOCAL,330,,1.649
331,LOCAL,331,,1.653
332,LOCAL,332,,1.649
333,LOCAL,333,,1.647
334,LOCAL,334,,1.654
335,LOCAL,335,,1.65
336,LOCAL,336,,1.653
337,LOCAL,337,,1.656
338,LOCAL,338,,1.65
339,LOCAL,339,,1.647
340,LOCAL,340,,1.65
341,LOCAL,341,,1.654
342,LOCAL,342,,1.651
343,LOCAL,343,,1.651
344,LOCAL,344,,1.65
345,LOCAL,345,,1.647
346,LOCAL,346,,1.649
347,LOCAL,347,,1.646
348,LOCAL,348,,1.649
349,LOCAL,349,,1.654
350,LOCAL,350,,1.649
351,LOCAL,351,,1.653
352,LOCAL,352,,1.65
353,LOCAL,353,,1.65
354,LOCAL,354,,1.651
355,LOCAL,355,,1.651
356,LOCAL,356,,1.653
357,LOCAL,357,,1.647
358,LOCAL,358,,1.65
359,LOCAL,359,,1.653
360,LOCAL,360,,1.651
361,LOCAL,361,,1.65
362,LOCAL,362,,1.65
363,LOCAL,363,,1.653
364,LOCAL,364,,1.651
365,LOCAL,365,,1.649
366,LOCAL,366,,1.65
367,LOCAL,367,,1.646
368,LOCAL,368,,1.652
369,LOCAL,369,,1.647
370,LOCAL,370,,1.649
371,LOCAL,371,,1.653
372,LOCAL,372,,1.649
373,LOCAL,373,,1.647
374,LOCAL,374,,1.653
375,LOCAL,375,,1.652
376,LOCAL,376,,1.654
377,LOCAL,377,,1.651
378,LOCAL,378,,1.645
379,LOCAL,379,,1.65
380,LOCAL,380,,1.648
381,LOCAL,381,,1.651
382,LOCAL,382,,1.647
383,LOCAL,383,,1.648
384,LOCAL,384,,1.655
385,LOCAL,385,,1.648
386,LOCAL,386,,1.649
387,LOCAL,387,,1.65
388,LOCAL,388,,1.65
389,LOCAL,389,,1.654
390,LOCAL,390,,1.65
391,LOCAL,391,,1.655
392,LOCAL,392,,1.652
393,LOCAL,393,,1.649
394,LOCAL,394,,1.645
395,LOCAL,395,,1.653
396,LOCAL,396,,1.652
397,LOCAL,397,,1.648
398,LOCAL,398,,1.651
399,LOCAL,399,,1.647
400,LOCAL,400,,1.652
401,LOCAL,401,,1.651
402,LOCAL,402,,1.655
403,LOCAL,403,,1.65
404,LOCAL,404,,1.648
405,LOCAL,405,,1.647
406,LOCAL,406,,1.651
407,LOCAL,407,,1.65
408,LOCAL,408,,1.653
409,LOCAL,409,,1.65
410,LOCAL,410,,1.646
411,LOCAL,411,,1.651
412,LOCAL,412,,1.65
413,LOCAL,413,,1.653
414,LOCAL,414,,1.652
415,LOCAL,415,,1.648
416,LOCAL,416,,1.651
417,LOCAL,417,,1.653
418,LOCAL,418,,1.65
419,LOCAL,419,,1.65
420,LOCAL,420,,1.65
421,LOCAL,421,,1.651
422,LOCAL,422,,1.651
423,LOCAL,423,,1.656
424,LOCAL,424,,1.647
425,LOCAL,425,,1.653
426,LOCAL,426,,1.651
427,LOCAL,427,,1.647
428,LOCAL,428,,1.649
429,LOCAL,429,,1.653
430,LOCAL,430,,1.652
431,LOCAL,431,,1.65
432,LOCAL,432,,1.645
433,LOCAL,433,,1.646
434,LOCAL,434,,1.65
435,LOCAL,435,,1.65
436,LOCAL,436,,1.649
437,LOCAL,437,,1.653
438,LOCAL,438,,1.647
439,LOCAL,439,,1.652
440,LOCAL,440,,1.651
441,LOCAL,441,,1.646
442,LOCAL,442,,1.654
443,LOCAL,443,,1.652
444,LOCAL,444,,1.652
445,LOCAL,445,,1.65
446,LOCAL,446,,1.648
447,LOCAL,447,,1.65
448,LOCAL,448,,1.649
449,LOCAL,449,,1.649
450,LOCAL,450,,1.65
451,LOCAL,451,,1.65
452,LOCAL,452,,1.65
453,LOCAL,453,,1.652
454,LOCAL,454,,1.653
455,LOCAL,455,,1.649
456,LOCAL,456,,1.655
457,LOCAL,457,,1.652
458,LOCAL,458,,1.651
459,LOCAL,459,,1.649
460,LOCAL,460,,1.655
461,LOCAL,461,,1.651
462,LOCAL,462,,1.651
463,LOCAL,463,,1.651
464,LOCAL,464,,1.649
465,LOCAL,465,,1.65
466,LOCAL,466,,1.647
467,LOCAL,467,,1.648
468,LOCAL,468,,1.646
469,LOCAL,469,,1.654
470,LOCAL,470,,1.65
471,LOCAL,471,,1.647
472,LOCAL,472,,1.647
473,LOCAL,473,,1.648
474,LOCAL,474,,1.646
475,LOCAL,475,,1.649
476,LOCAL,476,,1.655
477,LOCAL,477,,1.652
478,LOCAL,478,,1.649
479,LOCAL,479,,1.651
480,LOCAL,480,,1.651
481,LOCAL,481,,1.656
482,LOCAL,482,,1.649
483,LOCAL,483,,1.647
484,LOCAL,484,,1.651
