Point,Corner,mc_iteration,Pass/Fail,Vo
1,LOCAL,1,,1.645
2,LOCAL,2,,1.647
3,LOCAL,3,,1.65
4,LOCAL,4,,1.65
5,LOCAL,5,,1.651
6,LOCAL,6,,1.649
7,LOCAL,7,,1.651
8,LOCAL,8,,1.65
9,LOCAL,9,,1.653
10,LOCAL,10,,1.651
11,LOCAL,11,,1.651
12,LOCAL,12,,1.651
13,LOCAL,13,,1.653
14,LOCAL,14,,1.654
15,LOCAL,15,,1.647
16,LOCAL,16,,1.65
17,LOCAL,17,,1.649
18,LOCAL,18,,1.652
19,LOCAL,19,,1.648
20,LOCAL,20,,1.648
21,LOCAL,21,,1.648
22,LOCAL,22,,1.65
23,LOCAL,23,,1.649
24,LOCAL,24,,1.652
25,LOCAL,25,,1.652
26,LOCAL,26,,1.649
27,LOCAL,27,,1.652
28,LOCAL,28,,1.648
29,LOCAL,29,,1.651
30,LOCAL,30,,1.652
31,LOCAL,31,,1.649
32,LOCAL,32,,1.655
33,LOCAL,33,,1.653
34,LOCAL,34,,1.651
35,LOCAL,35,,1.653
36,LOCAL,36,,1.648
37,LOCAL,37,,1.642
38,LOCAL,38,,1.651
39,LOCAL,39,,1.649
40,LOCAL,40,,1.653
41,LOCAL,41,,1.648
42,LOCAL,42,,1.649
43,LOCAL,43,,1.647
44,LOCAL,44,,1.649
45,LOCAL,45,,1.652
46,LOCAL,46,,1.652
47,LOCAL,47,,1.649
48,LOCAL,48,,1.655
49,LOCAL,49,,1.65
50,LOCAL,50,,1.65
51,LOCAL,51,,1.647
52,LOCAL,52,,1.646
53,LOCAL,53,,1.651
54,LOCAL,54,,1.655
55,LOCAL,55,,1.649
56,LOCAL,56,,1.65
57,LOCAL,57,,1.651
58,LOCAL,58,,1.654
59,LOCAL,59,,1.651
60,LOCAL,60,,1.649
61,LOCAL,61,,1.651
62,LOCAL,62,,1.649
63,LOCAL,63,,1.644
64,LOCAL,64,,1.646
65,LOCAL,65,,1.649
66,LOCAL,66,,1.65
67,LOCAL,67,,1.654
68,LOCAL,68,,1.648
69,LOCAL,69,,1.653
70,LOCAL,70,,1.653
71,LOCAL,71,,1.652
72,LOCAL,72,,1.65
73,LOCAL,73,,1.653
74,LOCAL,74,,1.65
75,LOCAL,75,,1.652
76,LOCAL,76,,1.647
77,LOCAL,77,,1.648
78,LOCAL,78,,1.651
79,LOCAL,79,,1.651
80,LOCAL,80,,1.651
81,LOCAL,81,,1.649
82,LOCAL,82,,1.649
83,LOCAL,83,,1.646
84,LOCAL,84,,1.644
85,LOCAL,85,,1.649
86,LOCAL,86,,1.644
87,LOCAL,87,,1.647
88,LOCAL,88,,1.653
89,LOCAL,89,,1.649
90,LOCAL,90,,1.65
91,LOCAL,91,,1.653
92,LOCAL,92,,1.645
93,LOCAL,93,,1.648
94,LOCAL,94,,1.647
95,LOCAL,95,,1.649
96,LOCAL,96,,1.648
97,LOCAL,97,,1.649
98,LOCAL,98,,1.648
99,LOCAL,99,,1.648
100,LOCAL,100,,1.65
101,LOCAL,101,,1.652
102,LOCAL,102,,1.646
103,LOCAL,103,,1.648
104,LOCAL,104,,1.647
105,LOCAL,105,,1.649
106,LOCAL,106,,1.646
107,LOCAL,107,,1.656
108,LOCAL,108,,1.649
109,LOCAL,109,,1.65
110,LOCAL,110,,1.65
111,LOCAL,111,,1.644
112,LOCAL,112,,1.652
113,LOCAL,113,,1.65
114,LOCAL,114,,1.647
115,LOCAL,115,,1.655
